"text","usa","ID"
"BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic Build Back Better Bill because it will add to the deficit. RT IF YOU THINK WE SHOULD NEVER LISTEN TO BILLIONAIRES ABOUT WHAT'S BEST FOR AMERICA!","yes",1
"Nope nope nope. Russia is emboldened because the guy who called your wife ugly — and who you supported — cozied up to Putin and gave Russia green lights for 4 years. If you had defended America (and your wife) we wouldn’t be in this mess. Next. https://t.co/pX0V6rtMWC","yes",2
"Thanks to the American Rescue Plan, we’ve cut child poverty in America by more than 40%. 

Many children who spent last Christmas in poverty will not this holiday season.","yes",3
"RT @PabloIglesias: La política exterior española hacia  América Latina. Mi análisis en @C5N 👇🏻 https://t.co/plYiNcrFst","yes",4
"Canberra is pushing for a “digital free-trade agreement” that would make it easier for Australians to tap into markets in the US and other nations.

#auspol #trade  https://t.co/0V5OyF9FEC","yes",5
"RT @FinPlanKaluAja1: America ""owns"" World Bank 
France ""owns"" IMF

So China created, The China Development Bank (CDB)

According to the Bos…","yes",6
"RT @realpfigueiredo: Já são 113 bombeiros do condado de Los Angeles afastados ao se recusarem a tomar a vacina obrigatória. É apenas uma fo…","yes",7
"RT @OccupyDemocrats: BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic…","yes",8
"I miss having a President that is strong at international diplomacy. One that put America, her interests and citizens first….","yes",9
"RT @ritz_wydferr: owning the ""we used to be a proper country"" guy by ironically posting pictures of America taken anywhere between 10 to 30…","yes",10
"RT @RexChapman: In America - in 2021 there have been 144-school shootings, 28 deaths, and 86 injuries…","yes",11
"RT @shannonrwatts: John Lennon was assassinated 41 years ago today by a man who flew from Hawaii to New York with a handgun in his suitcase…","yes",12
"@Downey5Cheryl Pfizer CEO if they don't jab kids they will never get the data of safety.  America some kids jab by report mistake has bad side affect. In report Pfizer was force to go out by judge,","yes",13
"RT @chiweethegod: america is funny. it worships the famous, loves a comeback story, and giving people a second chance. with his new role, t…","yes",14
"RT @favianemily: A $200 Million, 2 yr modern day slave trade was uncovered in Georgia. Migrants from Mexico and Central America were forced…","yes",15
"RT @profpaVarghese: Born Catholic i became ashamed of its wars,exploitation of d poor,killing of millions in history, persecution &amp; convers…","yes",16
"@TIME GE screwed America for decades. Rolling Stone exposed them in the 80's.","yes",17
"@nytimes YOU ARE NOT A NEWS PAPER. YOU HATE AMERICA. YOU HATE ITS GOVERNMENT. YOU HATE ITS COURTS. YOU SAID GOD CAN'T SINK THE TITANIC. YOU ARE A TABLOID. #MJInnocent","yes",18
"RT @shen_shiwei: 🇲🇾Former Malaysian PM Dr. Mahathir: America has a problem with its own #democracy. It’s very arrogant and wants to impose…","yes",19
"RT @odellshaun: @JerasIkehorn As long as people keep voting Republican America is finished","yes",20
"RT @GhionWD: A well-placed source tells me that Daniel Yohannes, former US ambassador to OECD and a relative of Seye Abraha, is a major dri…","yes",21
"RT @infobae: Juicio a Ghislaine Maxwell: “Me dio un uniforme escolar y me dijo que vaya a tomar el té con Jeffrey Epstein” https://t.co/weF…","yes",22
"RT @POTUS: Since I took office in January, we’ve had the fastest drop in unemployment in a single year — and the most jobs added in the fir…","yes",23
"RT @favianemily: A $200 Million, 2 yr modern day slave trade was uncovered in Georgia. Migrants from Mexico and Central America were forced…","yes",24
"RT @FedericoDezzani: ll pubblico della Scala è come la platea di Confindustria: rappresenta la borghesia parassita, dai comprovati sentimen…","yes",25
"RT @OccupyDemocrats: BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic…","yes",26
"RT @Neoavatara: The reality is other than Woodrow Wilson, FDR was the most authoritarian President America has had.","yes",27
"RT @MsAvaArmstrong: STOP saying the United States of America is a democracy.
The USA is a REPRESENTATIVE REPUBLIC.","yes",28
"RT @lilvminstars: u know what’s legal in america? gay marriage","yes",29
"Y ya entrados en chismes, Azcárraga dijo que los culpables no solo visten de pantalón largo, esto respecto a la eliminación de las ‘Águilas’ en cuartos de final de la Liga MX: 

https://t.co/lFAWZxEyFt","yes",30
"@thegreygoose14 He hasn't a clue. Again all about himself. He needs to keep his mouth firmly closed but then I want everyone in America to see him for what he is as we have in England. A selfish narcasist who has not got a clue","yes",31
"@raebachmusic I don’t totally disagree with you I just don’t see America ever implementing industry workers at least 30 dollars an hour lol.","yes",32
"RT @RWMaloneMD: ""By tracking the evolutionary trajectories of vax-resistant mutations in more than 2.2 million SARS-CoV-2 genomes, we revea…","yes",33
"RT @BobAlbany: Cuban Sees Car Dealership for First Time (Firsts in America) https://t.co/CAgtoA7KSQ via @YouTube","yes",34
"RT @CheddaXD: Anyone that says that ""optimus prime doesnt give better speeches than Captain America"" SHOW THEM THIS! THIS IS A 10/10 Gooseb…","yes",35
"RT @cher: @cher_s_soldier Thank you,But Columbus 
Didn’t Discover America.
He discovered Bahamas,&amp;
Islands That Would Later become Haiti,Hi…","yes",36
"@WhiteHouse this is the president of America africans he is a speciality your aim in life African is too work for living too care for your family and look forward too your retirement that's why you have too work and why we push you too do that is so everyone does there share","yes",37
"RT @KevinHSharp: It’s time to free Leonard Peltier, America’s longest serving political Prisoner ⁦@KimKardashian⁩ ⁦@KKWJusticePRJ⁩ ⁦@Jessic…","yes",38
"RT @brattykv: taehyung said he can’t do long distance relationships no wonder he’s like this when he’s in america and jungkook’s in korea","yes",39
"RT @shannonrwatts: John Lennon was assassinated 41 years ago today by a man who flew from Hawaii to New York with a handgun in his suitcase…","yes",40
"@Mavhure @RMajongwe @KMutisi It’s called the Mercator Projection, there by attempts to place the spherical shape of the world onto a cylinder, causing areas closest to the poles to be “stretched”. Hence Africa, South America which are closest to the Equator, barely changes in size.","yes",41
"Will particularly apply to Israel stories, I think, but also those coming out of America, here and elsewhere. It really is important we all learn from this. It's not often you can actually see what they've done to spin a story the way they want it, but in this case we can.","yes",42
"RT @LettyKasule: The United Nation Security Council permanent five member states including the United States of America have backed the ong…","yes",43
"RT @RichSau61052334: @AmericanMade999 @SallyMayweather “The black is indolent and a dreamer; spending his meager wage on frivolity or drink…","yes",44
