"text","usa","ID"
"BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic Build Back Better Bill because it will add to the deficit. RT IF YOU THINK WE SHOULD NEVER LISTEN TO BILLIONAIRES ABOUT WHAT'S BEST FOR AMERICA!","yes",1
"John Lennon was assassinated 41 years ago today by a man who flew from Hawaii to New York with a handgun in his suitcase. He shot Lennon five times with hollow-point bullets. Since then, over 1.5 million people in America have been shot and killed - many more wounded.

Imagine… https://t.co/eL33CAg8dK","yes",2
"When Kellogg's employees worked 7 days a week during the pandemic to feed America they were called ""heroes."" Today, despite big profits, the company is trying to break their strike by bringing in permanent replacements and sending 275 jobs to Mexico. Let's stand with the workers.","yes",3
"RT @Chad_Boogie: Our Ancestors are rising all across America 🙌🏾 #PureReparations ✊🏾💪🏾

https://t.co/RlDiqZRIjo","yes",4
"RT @jilevin: What freedom of choice means to the women of America https://t.co/a6Axg7fpTg","yes",5
"RT @TTCivismo: Chile es el único país de Latinoamérica que logra entrar en la categoría de país ""mayormente libre"". 

Acá una imagen de la…","yes",6
"RT @MaryAbra4MAGA: America demands justice https://t.co/eQhiNaUSVE","yes",7
"i’m sorry but do y’all even pay attention to the way that america treats maternity leave? not to mention the cost of living forcing parents, especially lower income ones, into these situations. https://t.co/ah3xivLNv1","yes",8
"RT @Darcey77811821: #Ashes
Prediction of woman astrologer from America, ""Jean Dixon"" about Saint Rampal Ji Maharaj -
An Indian man from a r…","yes",9
"RT @BernieSanders: When Kellogg's employees worked 7 days a week during the pandemic to feed America they were called ""heroes."" Today, desp…","yes",10
"América Latina y el Caribe es la región del mundo con más ratificaciones del Convenio 190, adoptado en 2019. Pero aun así, son apenas tres países: Uruguay, Argentina y Ecuador,","yes",11
"RT @florio37: @mspopok @meiselasb @MTLegalAF This season the court will send America back in time to an era when women had no rights, and c…","yes",12
"RT @dccc: In 11 months, Democrats have cut child poverty in America by 40%. 

11 months. 40%.","yes",13
"RT @TheRightMelissa: BREAKING: Mike Lindell is suing voting systems company, Smartmatic after they defamed &amp; tried to silence him. They are…","yes",14
"RT @SebGorka: 52 Senators found a backbone tonight.

Just once. 

Biden’s illegal vaxx mandate for private companies is dead. 

God Bless A…","yes",15
"@TheLeoTerrell He's done nothing but sell out America ever since he stepped into a leadership role.","yes",16
"RT @nethpat16: @maureenjohnson I'm in The Netherlands where self tests have been easily available at less than $5, sent home with middle &amp;…","yes",17
"RT @Tinu: Once again 

something that happened a decade or more ago 

in Black and poor America 

happens to mainstream America. 

If you h…","yes",18
"RT @FuadMustefaAli: This is America 19th century cartoon about how USA looted from invaded... like teacher like student https://t.co/ztkfcz…","yes",19
"RT @bomus71: @JackPosobiec I watched that tape every year as a child, multiple times

My dad got me the VHS from the Shell gas station.

I…","yes",20
"Philippines’ anti-terror law constitutional except for two parts: SC https://t.co/rRLMsrnxYu #Asia #America #Oceania #news #analytics #panpacificagency","yes",21
"RT @cruz_rhonnzy19: They say, Kyungsoo is irrelevant but Kyungsoo brought the name EXO on overseas TV, ABC News America 😌👏
📷&amp;cr.calvin Mons…","yes",22
"Jimmy Lai convicted for taking part in Tiananmen vigil https://t.co/184QRf6Rzd #Asia #America #Oceania #news #analytics #panpacificagency","yes",23
"RT @EricMGarcia: Anti-vaxxers spread misinformation about vaccines and autism for decades. Now that tumor metastasized in other parts of th…","yes",24
"Thai tycoon jailed for hunting wildlife https://t.co/hwIefrWKWa #Asia #America #Oceania #news #analytics #panpacificagency","yes",25
"RT @SBWorkersUnited: Today is the last calendar day without a unionized corporate Starbucks location in the United States of America.","yes",26
"Meta to ban all Myanmar-army controlled businesses from platforms https://t.co/4mrmJpSJQW #Asia #America #Oceania #news #analytics #panpacificagency","yes",27
"@SweetestTaboo10 @donlemon @CNN @thelauracoates @DonLemonTonight ""The white liberal is the worst enemy to America, and the worst enemy to the black man"" Malcolm X","yes",28
"Cambodia lauds bilateral military cooperation with Brunei, the Philippines and Malaysia https://t.co/5SMbTyMxc4 #Asia #America #Oceania #news #analytics #panpacificagency","yes",29
"S. Korea’s total population to fall for first time this year https://t.co/bu8CsGtyjr #Asia #America #Oceania #news #analytics #panpacificagency","yes",30
"RT @artyny59: Hey #BookLovers what are you waiting for? Supply chain problems? Empty shelves? Buy books! Made in America, immediate deliver…","yes",31
"RT @BernieSanders: When Kellogg's employees worked 7 days a week during the pandemic to feed America they were called ""heroes."" Today, desp…","yes",32
"El presidente de Irán asegura que América Latina es “una de las prioridades” de su país https://t.co/2QzqaLfKUc","yes",33
"RT @OccupyDemocrats: BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic…","yes",34
"RT @TheLeoTerrell: Mitch McConnell is selling out America! Time for him to resign!","yes",35
"RT @FrostyFaustings: GG Strive players @ FF:
If we hit the player cap at #FFXIV2022 it will be the one of the largest gathering of Guilty G…","yes",36
"RT @SomosAmerica: Voy a rifar el jersey de local del Club América el 31 de diciembre entre todos los que den RT y FAV a este tweet. El gana…","yes",37
"RT @EricMMatheny: Twitter just shut down one of the most influence conservative voices in America, and not to mention one of my closest fri…","yes",38
"Black guy reacts to America and Russia military power scaling","yes",39
"@gguidobooks I argued with my sportswriter colleagues for years that Pirate management should tarp the upper deck permanently, sell the roster off and call PNC Park what it has turned into: The Best Minor League Park in America","yes",40
"@LauLevine Una del america 😎🤣🤣🤣","yes",41
"RT @deportesWRADIO: Esto sería un bombazo 😱

Bruno Valdez interesa en Tigres.
En América buscan extremo izquierdo y Luis Quiñones no desagr…","yes",42
"@Imposter_Edits @gingerrtwit Most of the causes of bankruptcy in America are medical bills.","yes",43
"RT @0Toneman: Biden Warns Russia that if they invade Ukraine, America will Evacuate Haphazardly, and leave Putin $86 billion worth of milit…","yes",44
"yung neck pillow na bigay sakin ng mama ko na pinagmamayabang niyang galing sa america pero alam kong sa miniso lang niya binili https://t.co/pTDPgZGUUh","yes",45
"@iam_kehnon @Joshua_Ubeku Like I said Messi knows he didn't deserve it and he said it in his speech, do you want us to argue about what Messi said? You want to compare Copa America (competition of 10 teams of which 8 go to the quarters and European leagues) and compare Copa Del Rey and Club world cup","yes",46
"RT @TrilbySmith2: @GrouchoG plenty of other locations they are being put at from Greenland to South America.","yes",47
"RT @one13074733: @steinhauserNH1 @Mike_Pence @AP @FoxNews Thanks Mike, you are a sucker and you destroyed America.","yes",48
"RT @jilevin: We need quality, free public education for all (because America doesn't need more stupid people). https://t.co/LE2FpTYHav","yes",49
"RT @bomus71: @JackPosobiec I watched that tape every year as a child, multiple times

My dad got me the VHS from the Shell gas station.

I…","yes",50
"RT @JohnLeguizamo: Thank you 🙏🏽 for your support and keeping us #1  movie in America! #encanto #disney @AP @Disney @Lin_Manuel @iamstephbea…","yes",51
"RT @favianemily: A $200 Million, 2 yr modern day slave trade was uncovered in Georgia. Migrants from Mexico and Central America were forced…","yes",52
"@SolBrahmin It's competing with America.","yes",53
"RT @johnrich: If you still support Biden, you owe America an apology.","yes",54
"@mattgurney @douglasyardley Haven’t we had a 500 year genocide here and in America? I don’t see ‘the West’ having any particular moral authority. The US has an overwhelming black prison population, we have a disproportionately large First Nations one.","yes",55
"@BrennAmerica @ryanfisher122 @CNNPolitics You’re obviously ignoring the great deeds these men like REL did for AMERICA Before the civil war. But don’t let History get in the way of your racissssssmmmmmmmm","yes",56
"RT @EwaEdyta: @BeatriceLuigiG @Visit_Israel Orientalism mixed with Disneyland=cheap version of rural America in the heart of Middle East","yes",57
"I wish I was never born to begin with. Maybe there are no God and Jesus Christ. I hate America.","yes",58
"Wall Street recupera su espíritu: por segundo día consecutivo la bolsa cerró al alza https://t.co/iI2ccBHsrI","yes",59
"RT @tteokminnie: [WEVERSE]

💜 Hobi are you still in America?

🐿 Yesyes I gotta leave soon😉 (*with aegyo) https://t.co/QsWWpUvVAJ","yes",60
"RT @SebGorka: 52 Senators found a backbone tonight.

Just once. 

Biden’s illegal vaxx mandate for private companies is dead. 

God Bless A…","yes",61
"@CaroTweetet @trump4_america 0 escalations, correct, but a lot esoteric right wingers and conspiracy morons.","yes",62
"RT @johnrich: If you still support Biden, you owe America an apology.","yes",63
"RT @NReveillee: This is what children live every day in America, thinking about what they will do when there's a shooter in their school.…","yes",64
"Entonces Km88 está molestx pq MX anda desatado en América. 🤘","yes",65
"RT @TheBookTweeters: America has a #childmarriage problem, so does the #UK #India #Pakistan #SaudiArabia #Afghanistan #Lebanon #Turkey. #Ne…","yes",66
"RT @SCCPFutFeminino: TRIMÃOOOOOOOO! 

Depois de conquistar o Brasil pela TERCEIRA vez e a América pela TERCEIRA vez, o Timão acaba de conqu…","yes",67
"RT @wikimluna: Another deadly crash; 3 people killed, 2 - hurt; speeding. The young man was sentenced to 8 years in prison!
Cameron Herrin…","yes",68
"RT @TheRightMelissa: BREAKING: Mike Lindell is suing voting systems company, Smartmatic after they defamed &amp; tried to silence him. They are…","yes",69
"RT @miles_commodore: If you don't think we have a math crisis in America, just watch a 17 year old working as a cashier trying to make chan…","yes",70
"Amy's going to America! Come along for... https://t.co/hVwoklKuNL via: https://t.co/lL3rqZ27rS","yes",71
"@Raccoon1325 @JustinTrudeau As bad as Biden’s bullshit rebuild America bullshit.  Fuck the roads let’s make smaller hospitals and shelters for the homeless and places for the mentally ill in the addicts. but now we need better roads","yes",72
"RT @SBWorkersUnited: Today is the last calendar day without a unionized corporate Starbucks location in the United States of America.","yes",73
"@MSNBC America wake up ..it’s OK to ask questions , if you do not u/s something you do not have to believe everything someone tells you..it’s up to you to find out.. u/s (understand) God bless you with common sense use it or you will always be a follower","yes",74
"Prediction of woman astrologer from America, ""Jean Dixon"" about Saint Rampal Ji Maharaj -
After the ideological war, a new civilisation based on spiritualism would probably originate under the leadership of an Indian man. https://t.co/c5Jir8wNWO","yes",75
"RT @EricBoehlert: Carlson, Hannity and Ingraham all opened their shows tonight w/ Xmas tree fire 

it’s the most important news story in Am…","yes",76
"RT @SCCPFutFeminino: TRIMÃOOOOOOOO! 

Depois de conquistar o Brasil pela TERCEIRA vez e a América pela TERCEIRA vez, o Timão acaba de conqu…","yes",77
"RT @BloggingTheBoys: America's Team.","yes",78
"RT @JhumeTahamina: A winner is a dreamer who never gives up
@sidharth_shukla won World's Best Model title beating 40 other participants fro…","yes",79
